"Date","Price","Open","High","Low","Vol.","Change %"
"31.12.2024","242,13","241,05","242,52","241,05","2,52M","0,62%"
"30.12.2024","240,63","241,08","241,08","239,58","3,52M","-0,32%"
"27.12.2024","241,40","241,20","241,95","241,05","4,73M","-0,69%"
"26.12.2024","243,07","242,39","243,56","242,20","4,65M","0,68%"
"24.12.2024","241,44","241,49","241,66","240,82","2,42M","0,20%"
"23.12.2024","240,96","241,60","241,67","240,65","5,84M","-0,47%"
"20.12.2024","242,10","241,41","242,96","241,17","9,53M","1,04%"
"19.12.2024","239,60","239,67","240,05","238,73","8,11M","0,14%"
"18.12.2024","239,26","243,57","243,71","238,82","8,02M","-1,92%"
"17.12.2024","243,94","243,80","244,55","243,23","4,42M","-0,38%"
"16.12.2024","244,88","245,41","245,54","244,29","3,31M","0,24%"
"13.12.2024","244,29","245,67","245,94","244,27","6,60M","-1,21%"
"12.12.2024","247,28","247,81","248,24","246,87","10,15M","-1,47%"
"11.12.2024","250,96","249,35","251,26","248,97","11,03M","0,95%"
"10.12.2024","248,59","247,86","248,86","247,83","4,64M","1,32%"
"09.12.2024","245,36","246,28","247,11","245,26","4,71M","0,99%"
"06.12.2024","242,95","242,79","243,86","242,43","3,54M","0,04%"
"05.12.2024","242,86","244,16","244,38","242,15","4,81M","-0,74%"
"04.12.2024","244,67","244,93","245,34","244,37","4,61M","0,30%"
"03.12.2024","243,93","244,96","245,18","243,30","3,56M","0,20%"
"02.12.2024","243,44","244,46","244,58","243,14","4,77M","-0,88%"
"29.11.2024","245,59","245,25","245,81","244,73","2,71M","0,86%"
"27.11.2024","243,49","244,85","245,18","243,20","6,93M","0,22%"
"26.11.2024","242,95","242,71","243,09","241,58","4,95M","0,19%"
"25.11.2024","242,48","244,27","244,40","241,48","10,73M","-2,95%"
"22.11.2024","249,84","248,20","250,39","247,86","7,50M","1,29%"
"21.11.2024","246,66","246,23","246,81","245,69","7,65M","0,83%"
"20.11.2024","244,62","243,74","245,21","243,51","6,63M","0,56%"
"19.11.2024","243,25","242,75","243,31","242,03","6,58M","0,90%"
"18.11.2024","241,09","240,46","241,49","240,45","6,51M","1,90%"
"15.11.2024","236,59","237,57","237,88","236,33","7,30M","-0,18%"
"14.11.2024","237,01","236,57","237,99","236,13","8,26M","-0,26%"
"13.11.2024","237,63","241,31","241,47","237,59","8,43M","-1,01%"
"12.11.2024","240,05","241,29","241,66","239,39","10,15M","-0,86%"
"11.11.2024","242,14","242,73","242,73","241,06","11,65M","-2,35%"
"08.11.2024","247,96","249,07","249,35","247,78","6,27M","-0,68%"
"07.11.2024","249,65","248,29","250,24","248,12","8,82M","1,61%"
"06.11.2024","245,70","245,63","247,35","244,95","14,60M","-3,04%"
"05.11.2024","253,40","253,78","253,99","252,41","6,03M","0,23%"
"04.11.2024","252,83","253,32","253,58","252,27","4,58M","0,14%"
"01.11.2024","252,47","254,33","254,86","252,43","6,47M","-0,41%"
"31.10.2024","253,51","255,52","255,60","252,20","9,93M","-1,55%"
"30.10.2024","257,50","256,76","257,71","255,91","6,39M","0,55%"
"29.10.2024","256,09","254,49","256,29","254,23","8,88M","1,09%"
"28.10.2024","253,33","253,01","253,63","252,95","4,03M","0,00%"
"25.10.2024","253,32","252,00","253,55","251,77","4,42M","0,21%"
"24.10.2024","252,80","253,27","253,32","251,40","5,96M","0,77%"
"23.10.2024","250,87","253,08","253,18","250,20","8,08M","-1,21%"
"22.10.2024","253,93","253,06","253,94","252,52","5,76M","1,08%"
"21.10.2024","251,22","252,74","253,14","250,73","9,26M","-0,02%"
"18.10.2024","251,27","250,00","251,37","249,90","7,83M","1,06%"
"17.10.2024","248,63","247,75","249,06","247,62","5,18M","0,60%"
"16.10.2024","247,15","247,62","248,09","246,36","5,43M","0,50%"
"15.10.2024","245,92","244,99","246,55","244,53","5,64M","0,35%"
"14.10.2024","245,07","245,16","245,86","244,26","3,92M","-0,16%"
"11.10.2024","245,47","244,50","245,92","244,47","5,79M","1,09%"
"10.10.2024","242,82","241,77","243,02","241,51","4,79M","0,73%"
"09.10.2024","241,05","241,16","241,84","240,64","4,12M","-0,54%"
