Date,Close,Open,High,Low,Volume,Change
2015-01-02,114.08,112.49,114.8,112.32,7110000.0,0.0044
2015-01-05,115.8,114.78,116.0,114.73,8180000.0,0.0151
2015-01-06,117.12,116.22,117.5,115.8,11240000.0,0.011399999999999999
2015-01-07,116.43,116.47,116.88,116.17,6430000.0,-0.0059
2015-01-08,115.94,116.45,116.87,115.85,7030000.0,-0.0042
2015-01-09,117.26,116.51,117.34,116.5,7960000.0,0.011399999999999999
2015-01-12,118.56,117.46,118.71,117.32,8320000.0,0.0111
2015-01-13,118.16,118.96,119.19,117.87,7690000.0,-0.0034000000000000002
2015-01-14,117.97,119.08,119.32,117.9,7730000.0,-0.0016
2015-01-15,120.94,120.41,121.69,120.34,17690000.0,0.0252
2015-01-16,122.52,121.73,123.15,121.7,14430000.0,0.0131
2015-01-20,124.2,123.63,124.6,123.49,14970000.0,0.0137
2015-01-21,124.23,125.18,125.34,123.37,11080000.0,0.0002
2015-01-22,125.23,125.07,125.58,124.14,10520000.0,0.008
2015-01-23,124.23,124.43,124.5,123.35,6270000.0,-0.008
2015-01-26,122.99,123.33,123.34,122.52,6770000.0,-0.01
2015-01-27,124.4,123.56,124.64,123.51,9580000.0,0.0115
2015-01-28,123.42,123.52,123.89,122.94,8470000.0,-0.0079
2015-01-29,120.76,121.99,122.29,120.26,12000000.0,-0.0216
2015-01-30,123.45,121.3,123.55,120.92,14560000.0,0.0223
2015-02-02,122.42,121.84,123.16,121.82,8890000.0,-0.0083
2015-02-03,121.05,121.74,121.76,120.56,8260000.0,-0.011200000000000002
2015-02-04,121.58,121.63,122.22,120.92,5390000.0,0.0044
2015-02-05,121.79,120.98,121.83,120.61,6880000.0,0.0017000000000000001
2015-02-06,118.64,119.15,119.52,117.95,13210000.0,-0.0259
2015-02-09,119.17,118.83,119.4,118.77,5240000.0,0.0045000000000000005
2015-02-10,118.47,118.63,119.06,118.21,4090000.0,-0.0059
2015-02-11,117.07,118.49,118.57,117.0,6780000.0,-0.0118
2015-02-12,117.34,117.68,117.82,117.09,4340000.0,0.0023
2015-02-13,117.98,118.05,118.58,117.79,4110000.0000000005,0.0055000000000000005
2015-02-17,116.01,116.4,116.54,115.58,7230000.0,-0.0167
2015-02-18,116.34,115.99,116.53,114.99,8340000.0,0.0028000000000000004
2015-02-19,115.94,116.4,116.54,115.74,6530000.0,-0.0034000000000000002
2015-02-20,115.28,116.1,116.45,115.05,6680000.0,-0.005699999999999999
2015-02-23,115.43,115.11,116.22,115.07,4810000.0,0.0013
2015-02-24,115.26,115.0,115.55,114.29,7610000.0,-0.0015
2015-02-25,115.7,115.83,115.89,115.33,5030000.0,0.0038
2015-02-26,116.07,116.54,116.55,115.83,4030000.0000000005,0.0032
2015-02-27,116.16,116.74,117.07,116.16,8260000.0,0.0008
2015-03-02,115.68,116.5,116.64,115.62,7990000.0,-0.0040999999999999995
2015-03-03,115.47,116.04,116.61,115.35,4740000.0,-0.0018
2015-03-04,115.11,115.7,115.79,115.02,4760000.0,-0.0031
2015-03-05,115.0,115.43,116.12,114.84,5870000.0,-0.001
2015-03-06,111.86,113.17,113.26,111.7,11190000.0,-0.0273
2015-03-09,111.97,112.42,112.62,111.95,5530000.0,0.001
2015-03-10,111.42,112.09,112.35,111.22,7020000.0,-0.0049
2015-03-11,110.75,111.23,111.25,110.16,6550000.0,-0.006
2015-03-12,110.72,111.15,111.2,110.25,6630000.0,-0.0003
2015-03-13,110.88,111.1,111.28,110.51,4560000.0,0.0014000000000000002
2015-03-16,110.81,111.09,111.2,110.42,3270000.0,-0.0006
2015-03-17,110.21,109.92,111.35,109.77,8920000.0,-0.0054
2015-03-18,112.37,110.33,112.87,110.09,12450000.0,0.0196
2015-03-19,112.29,111.85,112.58,111.58,6540000.0,-0.0007000000000000001
2015-03-20,113.57,112.71,114.0,112.67,8029999.999999999,0.011399999999999999
2015-03-23,114.29,113.7,114.37,113.49,4240000.0,0.0063
2015-03-24,114.57,114.35,114.65,113.82,2980000.0,0.0024
2015-03-25,114.73,115.11,115.14,114.65,3020000.0,0.0014000000000000002
2015-03-26,115.48,115.73,115.84,115.34,5500000.0,0.006500000000000001
2015-03-27,115.06,115.14,115.36,114.45,4920000.0,-0.0036
2015-03-30,113.75,113.9,114.01,113.54,4380000.0,-0.011399999999999999
2015-03-31,113.66,113.84,114.28,113.41,4380000.0,-0.0008
2015-04-01,115.6,114.56,115.99,114.54,7320000.0,0.0171
2015-04-02,115.28,115.47,115.72,114.68,3880000.0,-0.0028000000000000004
2015-04-06,116.69,117.32,117.47,116.52,5910000.0,0.012199999999999999
2015-04-07,116.11,116.27,116.51,115.94,2470000.0,-0.005
2015-04-08,115.47,115.98,116.03,114.9,5570000.0,-0.0055000000000000005
2015-04-09,114.67,114.8,114.85,114.48,4710000.0,-0.0069
2015-04-10,115.97,116.0,116.19,115.5,3930000.0,0.0113
2015-04-13,115.14,115.35,115.39,114.8,3190000.0,-0.0072
2015-04-14,114.44,114.69,115.07,114.39,3650000.0,-0.0060999999999999995
2015-04-15,115.43,114.8,115.6,114.47,3660000.0,0.0087
2015-04-16,115.03,115.55,115.66,114.64,3130000.0,-0.0034999999999999996
2015-04-17,115.6,115.38,115.79,115.23,3500000.0,0.005
2015-04-20,114.72,114.82,114.95,114.32,3930000.0,-0.0076
2015-04-21,115.38,114.72,115.56,114.65,3320000.0,0.0058
2015-04-22,113.83,114.83,114.96,113.77,5700000.0,-0.0134
2015-04-23,114.66,113.9,114.96,113.81,3460000.0,0.0073
2015-04-24,113.05,113.96,114.07,112.77,7150000.0,-0.013999999999999999
2015-04-27,115.33,113.87,115.82,113.67,7490000.0,0.0202
2015-04-28,116.33,115.36,116.62,115.34,8050000.000000001,0.0087
2015-04-29,115.51,116.06,116.39,115.28,7170000.0,-0.006999999999999999
2015-04-30,113.47,113.88,113.88,112.96,9440000.0,-0.0177
2015-05-01,113.08,112.42,113.31,112.28,7600000.0,-0.0034000000000000002
2015-05-04,114.1,114.18,114.44,113.88,3650000.0,0.009000000000000001
2015-05-05,114.42,114.89,115.11,114.39,3860000.0,0.0028000000000000004
2015-05-06,114.36,114.59,114.75,114.02,3280000.0,-0.0005
2015-05-07,113.42,113.84,114.01,113.32,5460000.0,-0.008199999999999999
2015-05-08,113.97,114.34,114.43,113.59,9960000.0,0.0048
2015-05-11,113.53,114.09,114.31,113.08,2920000.0,-0.0039000000000000003
2015-05-12,114.5,114.1,114.67,114.06,3260000.0,0.0085
2015-05-13,116.55,115.74,116.93,115.68,11770000.0,0.0179
2015-05-14,117.18,117.28,117.75,117.03,6920000.0,0.0054
2015-05-15,117.53,116.8,117.63,116.68,4450000.0,0.003
2015-05-18,117.52,117.78,117.88,117.27,5080000.0,-0.0001
2015-05-19,115.89,116.55,116.73,115.65,5050000.0,-0.0139
2015-05-20,116.08,116.03,116.38,115.76,4430000.0,0.0016
2015-05-21,115.69,115.53,116.0,115.47,2510000.0,-0.0034000000000000002
2015-05-22,115.6,115.51,115.93,115.32,1780000.0,-0.0008
2015-05-26,113.91,113.84,114.23,113.7,5770000.0,-0.0146
2015-05-27,113.89,113.78,114.01,113.63,2680000.0,-0.0002
2015-05-28,114.02,113.85,114.16,113.21,5270000.0,0.0011
2015-05-29,114.1,114.14,114.48,114.0,3410000.0,0.0007000000000000001
2015-06-01,114.0,115.02,115.5,113.9,8250000.0,-0.0009
2015-06-02,114.46,114.36,114.64,114.17,3990000.0,0.004
2015-06-03,113.64,114.13,114.37,113.08,4890000.0,-0.0072
2015-06-04,112.84,112.98,113.15,112.48,5570000.0,-0.006999999999999999
2015-06-05,112.24,111.6,112.39,111.57,5560000.0,-0.0053
2015-06-08,112.57,112.39,112.66,112.13,3120000.0,0.0029
