Date,Close,Open,High,Low,Volume,Change
2015-01-02,102.89,103.71,104.15,102.39,31310000.0,-0.003
2015-01-05,101.38,102.44,102.56,101.09,36520000.0,-0.0147
2015-01-06,100.02,101.53,101.7,99.57,66209999.99999999,-0.0134
2015-01-07,101.31,100.68,101.55,100.43,37580000.0,0.0129
2015-01-08,103.25,102.17,103.45,102.06,40210000.0,0.0191
2015-01-09,102.57,103.57,103.6,101.97,41410000.0,-0.0066
2015-01-12,101.5,102.77,102.88,101.23,34130000.0,-0.0104
2015-01-13,101.47,102.49,103.57,100.65,56160000.0,-0.0003
2015-01-14,100.91,100.45,101.43,100.02,51350000.0,-0.0055000000000000005
2015-01-15,99.6,101.38,101.54,99.47,51010000.0,-0.013000000000000001
2015-01-16,100.77,99.47,100.9,99.31,35360000.0,0.011699999999999999
2015-01-20,101.57,101.38,101.83,100.24,30960000.0,0.0079
2015-01-21,102.09,101.27,102.57,100.91,40130000.0,0.0051
2015-01-22,103.98,102.49,104.09,101.59,40890000.0,0.018500000000000003
2015-01-23,104.21,103.97,104.53,103.67,34780000.0,0.0022
2015-01-26,104.09,104.09,104.28,103.56,19960000.0,-0.0012
2015-01-27,101.39,102.45,102.51,101.05,45250000.0,-0.0259
2015-01-28,100.87,103.02,103.13,100.85,43590000.0,-0.0051
2015-01-29,101.84,100.79,102.02,99.91,46540000.0,0.0096
2015-01-30,101.05,101.75,102.53,100.91,42930000.0,-0.0078000000000000005
2015-02-02,101.93,101.28,102.02,99.7,43620000.0,0.0087
2015-02-03,102.91,102.3,102.98,101.63,30750000.0,0.0096
2015-02-04,102.82,102.49,103.5,102.26,34070000.0,-0.0009
2015-02-05,103.71,103.08,103.78,102.82,23610000.0,0.0087
2015-02-06,103.08,103.87,104.12,102.71,34170000.0,-0.0060999999999999995
2015-02-09,102.75,102.68,103.23,102.5,22600000.0,-0.0032
2015-02-10,104.35,103.32,104.49,103.16,23690000.0,0.015600000000000001
2015-02-11,104.72,104.47,104.96,104.27,20300000.0,0.0034999999999999996
2015-02-12,105.94,105.4,105.98,105.24,22520000.0,0.011699999999999999
2015-02-13,106.85,106.24,106.87,106.05,29030000.0,0.0086
2015-02-17,106.95,106.85,107.02,106.59,17680000.0,0.0009
2015-02-18,107.1,106.82,107.16,106.68,15150000.0,0.0014000000000000002
2015-02-19,107.63,107.03,107.7,107.0,19830000.0,0.0049
2015-02-20,108.35,107.56,108.41,107.22,28340000.0,0.0067
2015-02-23,108.46,108.29,108.49,108.05,17870000.0,0.001
2015-02-24,108.54,108.32,108.67,107.99,19750000.0,0.0007000000000000001
2015-02-25,108.27,108.38,108.8,108.03,19470000.0,-0.0025
2015-02-26,108.82,108.38,108.88,108.08,22260000.0,0.0051
2015-02-27,108.34,108.78,108.85,108.17,27760000.0,-0.0044
2015-03-02,109.32,108.55,109.36,108.53,22990000.0,0.009000000000000001
2015-03-03,108.81,108.99,109.1,108.12,20790000.0,-0.004699999999999999
2015-03-04,108.39,108.45,108.61,107.8,21010000.0,-0.0039000000000000003
2015-03-05,108.58,108.67,108.91,108.13,15380000.0,0.0018
2015-03-06,107.35,108.44,108.65,107.08,30990000.0,-0.0113
2015-03-09,107.66,107.57,107.93,107.13,26240000.0,0.0029
2015-03-10,105.66,106.89,106.92,105.66,34230000.0,-0.018600000000000002
2015-03-11,105.05,105.82,105.95,105.01,25460000.0,-0.0058
2015-03-12,105.74,104.97,105.86,104.9,21470000.0,0.0066
2015-03-13,105.28,105.64,106.06,104.63,42020000.0,-0.0044
2015-03-16,106.64,105.67,106.68,105.56,25670000.0,0.0129
2015-03-17,106.81,106.35,106.98,106.1,19600000.0,0.0016
2015-03-18,107.86,106.52,108.35,105.97,40620000.0,0.0098
2015-03-19,108.02,107.97,108.32,107.81,31310000.0,0.0015
2015-03-20,108.47,108.66,109.01,108.45,31760000.0,0.0042
2015-03-23,108.26,108.41,108.71,108.22,17270000.0,-0.0019
2015-03-24,107.87,108.25,108.75,107.85,22450000.0,-0.0036
2015-03-25,105.4,108.04,108.14,105.36,41580000.0,-0.0229
2015-03-26,105.04,104.54,105.64,104.19,47850000.0,-0.0034000000000000002
2015-03-27,105.46,105.02,105.71,104.86,33880000.0,0.004
2015-03-30,106.67,106.1,106.76,106.1,30570000.0,0.0115
2015-03-31,105.54,106.37,106.59,105.51,30490000.0,-0.0106
2015-04-01,104.99,105.54,105.56,104.32,32970000.0,-0.0052
2015-04-02,105.06,105.09,105.4,104.72,19160000.0,0.0007000000000000001
2015-04-06,105.92,104.45,106.21,104.29,24450000.0,0.008199999999999999
2015-04-07,105.74,105.86,106.64,105.74,19380000.0,-0.0017000000000000001
2015-04-08,106.58,105.78,106.73,105.77,25870000.0,0.0079
2015-04-09,107.25,106.53,107.29,106.17,23110000.0,0.0063
2015-04-10,107.69,107.21,107.7,106.97,17160000.0,0.0040999999999999995
2015-04-13,107.42,107.77,108.32,107.3,17780000.0,-0.0025
2015-04-14,107.11,107.31,107.62,106.5,23760000.0,-0.0029
2015-04-15,107.78,107.39,108.01,107.26,21130000.0,0.0063
2015-04-16,107.63,107.49,107.82,107.34,16200000.0,-0.0014000000000000002
2015-04-17,105.95,106.6,106.89,105.49,46510000.0,-0.015600000000000001
2015-04-20,107.54,106.48,107.73,106.44,28950000.0,0.015
2015-04-21,108.0,108.16,108.35,107.87,22760000.0,0.0043
2015-04-22,108.59,108.28,108.77,107.58,21430000.0,0.0055000000000000005
2015-04-23,109.0,108.22,109.49,108.2,29470000.0,0.0038
2015-04-24,110.48,110.15,110.63,109.97,32509999.999999996,0.013600000000000001
2015-04-27,110.2,110.89,111.1,109.96,31120000.0,-0.0025
2015-04-28,109.98,110.28,110.49,109.05,36850000.0,-0.002
2015-04-29,109.29,109.37,110.01,108.69,34040000.0,-0.0063
2015-04-30,107.57,108.67,109.11,107.0,44080000.0,-0.015700000000000002
2015-05-01,108.99,107.99,109.06,107.97,32869999.999999996,0.0132
2015-05-04,109.17,109.34,109.85,109.11,23510000.0,0.0017000000000000001
2015-05-05,107.39,108.74,108.94,107.34,47840000.0,-0.0163
2015-05-06,106.65,107.58,107.89,105.94,42690000.0,-0.0069
2015-05-07,107.29,106.62,107.59,106.54,29340000.0,0.006
2015-05-08,108.63,108.4,108.86,108.24,33020000.000000004,0.0125
2015-05-11,108.21,108.7,108.92,108.13,19680000.0,-0.0039000000000000003
2015-05-12,107.72,107.57,108.27,106.74,33670000.0,-0.0045000000000000005
2015-05-13,107.94,108.19,108.75,107.78,20740000.0,0.002
2015-05-14,109.52,108.82,109.61,108.42,23900000.0,0.0146
2015-05-15,109.52,109.8,109.95,109.25,23940000.0,0.0
2015-05-18,110.0,109.34,110.22,109.26,17630000.0,0.0044
2015-05-19,109.88,110.12,110.29,109.7,14210000.0,-0.0011
2015-05-20,109.95,109.96,110.61,109.37,21130000.0,0.0006
2015-05-21,110.52,109.76,110.67,109.6,16770000.0,0.0052
2015-05-22,110.41,110.39,110.81,110.32,13540000.0,-0.001
2015-05-26,109.14,110.17,110.32,108.7,25490000.0,-0.0115
2015-05-27,110.9,109.47,111.02,109.23,30570000.0,0.0161
2015-05-28,110.65,110.69,110.95,110.31,17300000.0,-0.0023
2015-05-29,109.99,110.58,110.73,109.73,30380000.0,-0.006
2015-06-01,110.36,110.58,110.66,109.46,24570000.0,0.0034000000000000002
2015-06-02,110.01,109.95,110.55,109.41,19450000.0,-0.0032
2015-06-03,110.34,110.51,110.75,110.07,20510000.0,0.003
2015-06-04,109.5,109.72,110.42,109.15,31370000.0,-0.0076
2015-06-05,109.24,109.37,109.63,108.57,22640000.0,-0.0024
2015-06-08,108.13,109.19,109.27,107.91,24550000.0,-0.0102
2015-06-09,107.95,107.87,108.34,107.14,27550000.0,-0.0017000000000000001
2015-06-10,109.43,108.32,109.75,108.2,30300000.0,0.0137
2015-06-11,109.59,109.8,110.09,109.4,17590000.0,0.0015
2015-06-12,108.69,109.01,109.24,108.54,27200000.0,-0.008199999999999999
2015-06-15,108.15,107.88,108.32,107.25,31240000.0,-0.005
2015-06-16,108.74,108.04,108.92,107.99,16460000.0,0.0055000000000000005
2015-06-17,109.04,108.92,109.39,108.37,23300000.0,0.0028000000000000004
2015-06-18,110.63,109.44,110.82,109.38,43030000.0,0.0146
2015-06-19,109.83,110.43,110.52,109.75,27880000.0,-0.0072
2015-06-22,110.64,110.64,110.97,110.39,19120000.0,0.0074
2015-06-23,110.73,110.76,110.83,110.27,18130000.0,0.0008
2015-06-24,110.16,110.6,111.07,110.13,15820000.0,-0.0051
2015-06-25,109.94,110.59,110.7,109.76,18330000.0,-0.002
2015-06-26,109.21,109.92,110.17,108.8,32310000.000000004,-0.0066
2015-06-29,106.63,108.0,108.6,106.58,50870000.0,-0.0236
2015-06-30,107.01,107.43,107.66,106.68,34810000.0,0.0036
2015-07-01,107.86,108.07,108.29,107.36,21290000.0,0.0079
2015-07-02,107.89,108.17,108.26,107.56,20500000.0,0.0003
2015-07-06,107.64,107.21,108.26,106.98,24310000.0,-0.0023
2015-07-07,107.91,107.76,108.01,105.77,44230000.0,0.0025
2015-07-08,106.03,107.14,107.27,105.84,39690000.0,-0.0174
2015-07-09,105.97,107.44,107.54,105.96,28380000.0,-0.0006
2015-07-10,107.59,107.38,107.99,106.99,26420000.0,0.015300000000000001
2015-07-13,109.48,108.52,109.57,108.51,25780000.0,0.0176
