Date,Close,Open,High,Low,Volume,Change
2015-01-02,205.43,206.38,206.88,204.18,121470000.0,-0.0005
2015-01-05,201.72,204.17,204.37,201.35,169630000.0,-0.0181
2015-01-06,199.82,202.09,202.72,198.85,209150000.0,-0.009399999999999999
2015-01-07,202.31,201.42,202.72,200.88,125350000.0,0.0125
2015-01-08,205.9,204.01,206.16,203.99,147220000.0,0.0177
2015-01-09,204.25,206.4,206.42,203.51,158570000.0,-0.008
2015-01-12,202.65,204.41,204.6,201.92,144400000.0,-0.0078000000000000005
2015-01-13,202.08,204.12,205.48,200.51,214550000.0,-0.0028000000000000004
2015-01-14,200.86,199.65,201.1,198.57,192990000.0,-0.006
2015-01-15,199.02,201.63,202.01,198.88,176610000.0,-0.0092
2015-01-16,201.63,198.77,201.82,198.55,211880000.0,0.0131
2015-01-20,202.06,202.4,202.72,200.17,130990000.00000001,0.0021
2015-01-21,203.08,201.5,203.66,200.94,122940000.0,0.005
2015-01-22,206.1,203.99,206.26,202.33,174360000.0,0.0149
2015-01-23,204.97,205.79,206.1,204.81,117520000.0,-0.0055000000000000005
2015-01-26,205.45,204.71,205.56,203.85,92010000.0,0.0023
2015-01-27,202.74,202.97,204.12,201.74,134039999.99999999,-0.0132
2015-01-28,200.14,204.17,204.29,199.91,168510000.0,-0.0128
2015-01-29,201.99,200.38,202.3,198.68,173590000.0,0.0092
2015-01-30,199.45,200.57,202.17,199.13,197730000.0,-0.0126
2015-02-02,201.92,200.05,202.03,197.86,163110000.0,0.0124
2015-02-03,204.84,203.0,204.85,202.55,124210000.0,0.014499999999999999
2015-02-04,204.06,203.92,205.38,203.51,134310000.0,-0.0038
2015-02-05,206.12,204.86,206.3,204.77,97950000.0,0.0101
2015-02-06,205.55,206.56,207.24,204.92,125670000.0,-0.0028000000000000004
2015-02-09,204.63,204.77,205.64,204.13,87220000.0,-0.0045000000000000005
2015-02-10,206.81,205.88,207.12,204.68,96160000.0,0.010700000000000001
2015-02-11,206.93,206.61,207.45,205.83,91090000.0,0.0006
2015-02-12,208.92,207.89,208.99,206.97,97550000.0,0.0096
2015-02-13,209.78,209.07,209.84,208.76,93670000.0,0.0040999999999999995
2015-02-17,210.11,209.4,210.32,209.1,76970000.0,0.0016
2015-02-18,210.13,209.66,210.22,209.34,80650000.0,0.0001
2015-02-19,209.98,209.41,210.42,209.24,91460000.0,-0.0007000000000000001
2015-02-20,211.24,209.48,211.33,208.73,140900000.0,0.006
2015-02-23,211.21,210.94,211.21,210.48,74410000.0,-0.0001
2015-02-24,211.81,211.12,212.05,210.76,72470000.0,0.0028000000000000004
2015-02-25,211.63,211.66,212.24,211.22,73060000.0,-0.0008
2015-02-26,211.38,211.52,211.71,210.65,72700000.0,-0.0012
2015-02-27,210.66,211.26,211.58,210.6,108080000.0,-0.0034000000000000002
2015-03-02,211.99,210.78,212.06,210.72,87490000.0,0.0063
2015-03-03,211.12,211.47,212.05,210.08,110330000.0,-0.0040999999999999995
2015-03-04,210.23,210.4,210.49,209.06,114500000.0,-0.0042
2015-03-05,210.46,210.62,210.8,209.85,76870000.0,0.0011
2015-03-06,207.5,209.42,209.94,207.1,188130000.0,-0.0141
2015-03-09,208.36,207.74,208.79,207.55,89820000.0,0.0040999999999999995
2015-03-10,204.98,206.71,206.81,204.93,157120000.0,-0.016200000000000003
2015-03-11,204.5,205.29,205.5,204.4,110150000.0,-0.0023
2015-03-12,207.1,205.26,207.18,205.2,93990000.0,0.0127
2015-03-13,205.83,206.77,207.93,204.58,162410000.0,-0.0060999999999999995
2015-03-16,208.58,206.71,208.69,205.86,136100000.0,0.0134
2015-03-17,207.96,207.69,208.42,206.98,94510000.0,-0.003
2015-03-18,210.46,207.39,211.27,206.62,228810000.0,0.012
2015-03-19,209.5,209.96,210.47,209.03,117920000.0,-0.0046
2015-03-20,210.41,209.71,211.02,209.49,177720000.0,0.0043
2015-03-23,210.0,210.42,211.11,210.0,71780000.0,-0.0019
2015-03-24,208.82,209.85,210.4,208.74,77810000.0,-0.005600000000000001
2015-03-25,205.76,209.07,209.35,205.71,159520000.0,-0.0147
2015-03-26,205.27,204.96,206.37,204.12,153070000.0,-0.0024
2015-03-27,205.74,205.13,205.95,204.9,118940000.0,0.0023
2015-03-30,208.25,206.98,208.61,206.96,96180000.0,0.012199999999999999
2015-03-31,206.43,207.26,208.1,206.36,126770000.0,-0.0087
2015-04-01,205.7,206.39,206.42,204.51,137300000.0,-0.0034999999999999996
2015-04-02,206.44,205.62,206.98,205.4,86900000.0,0.0036
2015-04-06,207.83,205.37,208.45,205.21,114370000.0,0.0067
2015-04-07,207.28,207.85,208.76,207.24,81240000.0,-0.0026
2015-04-08,207.97,207.55,208.51,207.08,89350000.0,0.0033
2015-04-09,208.9,207.78,209.18,207.19,85550000.0,0.0045000000000000005
2015-04-10,210.04,209.2,210.09,208.96,72720000.0,0.0055000000000000005
2015-04-13,209.09,209.87,210.63,209.03,74440000.0,-0.0045000000000000005
2015-04-14,209.49,208.85,209.71,208.1,75100000.0,0.0019
2015-04-15,210.43,210.05,211.04,209.95,99530000.0,0.0045000000000000005
2015-04-16,210.37,210.03,210.98,209.79,68930000.0,-0.0003
2015-04-17,207.95,208.94,209.23,207.01,191110000.0,-0.0115
2015-04-20,209.85,209.06,210.25,208.96,92190000.0,0.0091
2015-04-21,209.6,210.67,210.86,209.24,72560000.0,-0.0012
2015-04-22,210.63,210.01,210.85,208.9,78260000.0,0.0049
2015-04-23,211.16,210.15,211.94,210.01,102590000.0,0.0025
2015-04-24,211.65,211.66,211.97,211.11,61330000.0,0.0023
2015-04-27,210.77,212.33,212.48,210.54,79360000.0,-0.0042
2015-04-28,211.44,210.74,211.5,209.33,86860000.0,0.0032
2015-04-29,210.57,210.37,211.29,209.6,125680000.0,-0.0040999999999999995
2015-04-30,208.46,209.88,210.35,207.62,161300000.0,-0.01
2015-05-01,210.72,209.4,210.77,209.28,103400000.0,0.0108
2015-05-04,211.32,211.23,212.02,211.1,70930000.0,0.0028000000000000004
2015-05-05,208.9,211.03,211.46,208.73,113330000.0,-0.0115
2015-05-06,208.04,209.56,209.93,206.76,135060000.0,-0.0040999999999999995
2015-05-07,208.87,207.92,209.38,207.52,88240000.0,0.004
2015-05-08,211.62,210.88,211.86,210.78,155880000.0,0.0132
2015-05-11,210.6,211.57,211.89,210.52,75710000.0,-0.0048
2015-05-12,209.98,209.61,210.63,208.62,119730000.0,-0.0029
2015-05-13,210.02,210.47,211.22,209.74,94670000.0,0.0002
2015-05-14,212.21,211.24,212.32,210.91,95930000.0,0.0104
2015-05-15,212.44,212.44,212.61,211.86,76510000.0,0.0011
2015-05-18,213.1,212.24,213.4,212.16,74550000.0,0.0031
2015-05-19,213.03,213.24,213.57,212.69,72110000.0,-0.0003
2015-05-20,212.88,213.15,213.78,212.5,76860000.0,-0.0007000000000000001
2015-05-21,213.5,212.71,213.75,212.51,64760000.00000001,0.0029
2015-05-22,212.99,213.04,213.54,212.91,57430000.0,-0.0024
2015-05-26,210.7,212.4,212.91,210.2,124310000.0,-0.0108
2015-05-27,212.7,211.25,212.98,210.76,93210000.0,0.0095
2015-05-28,212.46,212.33,212.59,211.63,74970000.0,-0.0011
2015-05-29,211.14,212.38,212.43,210.82,124920000.0,-0.0062
2015-06-01,211.57,211.94,212.34,210.62,93340000.0,0.002
2015-06-02,211.36,211.02,212.19,210.27,91530000.0,-0.001
2015-06-03,211.92,212.0,212.67,211.33,87820000.0,0.0026
2015-06-04,210.13,211.07,211.86,209.75,151880000.0,-0.0084
2015-06-05,209.77,209.95,210.58,208.98,121700000.0,-0.0017000000000000001
2015-06-08,208.48,209.64,209.82,208.39,89060000.0,-0.0060999999999999995
2015-06-09,208.45,208.45,209.1,207.69,105030000.0,-0.0001
2015-06-10,210.95,209.37,211.41,209.3,134550000.0,0.012
2015-06-11,211.63,211.48,212.09,211.2,73880000.0,0.0032
2015-06-12,210.01,210.64,211.48,209.68,135380000.0,-0.0077
2015-06-15,209.11,208.64,209.45,207.79,124380000.0,-0.0043
2015-06-16,210.25,208.93,210.35,208.72,85310000.0,0.0055000000000000005
2015-06-17,210.59,210.59,211.32,209.36,126710000.0,0.0016
2015-06-18,212.78,211.31,213.34,210.63,165870000.0,0.0104
2015-06-19,210.81,211.46,211.55,210.36,130479999.99999999,-0.009300000000000001
